# 출처 K카(kcar.com) 직영 매물 목록 API. 수집 2026-09-08 17:21 KST. 수집 968대 중 조건 통과 319대. 개인 검토용 비공식 분석, 상업적 이용 금지. total_cost/insurance_history/owner_changes/listed_date/warranty 는 상세 페이지가 robots.txt Disallow 라 미수집(null).
id,url,maker,model,model_group,full_name,trim,trim_series,year_month,year,model_year,km,price,total_cost,total_cost_est,fuel,fuel_raw,transmission,cc,body_type,category_raw,accident,insurance_history,owner_changes,options,location,listed_date,warranty,photo,use_tag,rent_reg,reg_type,group_key,group_n,group_median_price,group_median_km,price_gap,km_gap,group_note,score
EC61394861,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61394861,기아,스토닉,스토닉,기아 스토닉 1.0 터보 프레스티지,1.0 터보 프레스티지,1.0,2018-08,2018,2019,36818,1290,,1383,가솔린,가솔린,오토,998,SUV,SUV,무사고,,,후방카메라|통풍시트|열선시트|스마트키|내비|크루즈,분당용인직영점 경기/인천,,,https://img.kcar.com/carpicture/carpicture09/pic6139/kcarM_61394861_045.jpg,,N,SELL,스토닉 2018±1 / 1.0 계열,4,1155.0,80098,-0.1169,0.5403,트림계열 세분(가격 산포 큼),50.0
EC61409172,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61409172,현대,쏘나타 뉴 라이즈,쏘나타,현대 쏘나타 뉴 라이즈 LPI 스타일 ,LPI 스타일,LPI,2018-08,2018,2019,101077,940,,1009,LPG,LPG,오토,1999,세단,중형차,단순수리,,,후방카메라|열선시트|스마트키|내비,세종공주직영점 충남,,,https://img.kcar.com/carpicture/carpicture10/pic6140/kcarM_61409172_045.jpg,영업용,N,SELL,쏘나타 뉴 라이즈 2018±1,28,1215.0,93053,0.2263,-0.0862,,50.0
EC61409297,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61409297,현대,코나,코나,현대 코나 1.6 터보 2WD 모던,1.6 터보 2WD 모던,1.6,2017-10,2017,2018,68262,1130,,1212,가솔린,가솔린,오토,1591,SUV,SUV,무사고,,,후방카메라|열선시트|스마트키|내비|크루즈,수원신갈직영점 경기/인천,,,https://img.kcar.com/carpicture/carpicture10/pic6140/kcarM_61409297_045.jpg,,N,SELL,코나 2017±1,11,1110,95210,-0.018,0.283,,48.9
EC61379873,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61379873,기아,스토닉,스토닉,기아 스토닉 1.4 가솔린 트렌디,1.4 가솔린 트렌디,1.4,2018-06,2018,2018,118530,990,,1062,가솔린,가솔린,오토,1368,SUV,SUV,무사고,,,후방카메라|열선시트|스마트키|내비|크루즈,천안직영점 충남,,,https://img.kcar.com/carpicture/carpicture07/pic6137/kcarM_61379873_045.jpg,,N,SELL,스토닉 2018±1 / 1.4 계열,19,1120,77185,0.1161,-0.5357,트림계열 세분(가격 산포 큼),47.4
EC61399288,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61399288,현대,코나,코나,현대 코나 디젤 1.6 2WD 모던,디젤 1.6 2WD 모던,디젤,2017-10,2017,2018,71143,1070,,1148,디젤,디젤,오토,1582,SUV,SUV,무사고,,,후방카메라|열선시트|스마트키|내비|크루즈,장한평직영점 서울,,,https://img.kcar.com/3dcarpicture/2026/08/095/61399288_1/main/main780.jpg,출퇴근용|영업용,N,SELL,코나 2017±1,11,1110,95210,0.036,0.2528,,47.3
EC61409505,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61409505,현대,베뉴,베뉴,현대 베뉴 1.6 스마트 ,1.6 스마트,1.6,2019-11,2019,2020,112639,970,,1041,가솔린,가솔린,오토,1598,SUV,SUV,단순수리,,,후방카메라|열선시트|스마트키|내비,포천직영점 경기/인천,,,https://img.kcar.com/3dcarpicture/2026/09/145/61409505_1/main/main780.jpg,,N,SELL,베뉴 2019±1,4,1185.0,95411,0.1814,-0.1806,,47.2
EC61358468,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61358468,현대,그랜저 IG,그랜저,현대 그랜저 IG 2.4 모던 ,2.4 모던,2.4,2018-10,2018,2019,75571,1180,,1266,가솔린,가솔린,오토,2359,세단,대형차,단순수리,,,후방카메라|열선시트|스마트키|내비|크루즈,고양직영점 경기/인천,,,https://img.kcar.com/carpicture/carpicture05/pic6135/kcarM_61358468_045.jpg,,N,SELL,그랜저 IG 2018±1,27,1240,107014,0.0484,0.2938,,46.8
EC61408857,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61408857,기아,K5 2세대,K5,기아 K5 2세대 LPI MX 럭셔리,LPI MX 럭셔리,LPI,2018-01,2018,2018,114606,790,,848,LPG,LPG,오토,1999,세단,중형차,단순수리,,,후방카메라|열선시트|스마트키,광명직영점 경기/인천,,,https://img.kcar.com/3dcarpicture/2026/09/104/61408857_1/main/main780.jpg,영업용,N,SELL,K5 2세대 2018±1,8,980.0,103084,0.1939,-0.1118,,46.6
EC61399474,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61399474,현대,더 뉴 아반떼 AD,아반떼,현대 더 뉴 아반떼 AD 1.6 스마트,1.6 스마트,1.6,2018-10,2018,2019,109566,1060,,1137,가솔린,가솔린,오토,1598,세단,준중형차,무사고,,,후방카메라|열선시트|스마트키|내비,포천직영점 경기/인천,,,https://img.kcar.com/3dcarpicture/2026/08/145/61399474_1/main/main780.jpg,,N,SELL,더 뉴 아반떼 AD 2018±1,17,1190,84121,0.1092,-0.3025,,46.4
EC61387707,https://www.kcar.com/bc/detail/carInfoDtl?i_sCarCd=EC61387707,현대,i30 (PD),i30,현대 i30 (PD) 1.4 터보 프리미엄,1.4 터보 프리미엄,1.4,2018-04,2018,2018,112113,960,,1030,가솔린,가솔린,오토,1353,해치백,준중형차,단순수리,,,후방카메라|열선시트|스마트키|내비|크루즈,세종공주직영점 충남,,,https://img.kcar.com/3dcarpicture/2026/07/169/61387707_1/main/main780.jpg,,N,SELL,i30 (PD) 2018±1,8,1165.0,86606,0.176,-0.2945,,46.4
